description,id,activation_level,category,Age Range,age_min,age_max,evaluation_method
Glasgow coma score (GCS) < 12,1,Level 1,Adult,16 - 64,16,64,deterministic
Injury with associated tachycardia (Heart Rate (HR) > 100) AND poor perfusion,2,Level 1,Adult,16 - 64,16,64,hybrid
Systolic Blood Pressure (SBP) < 90,3,Level 1,Adult,16 - 64,16,64,deterministic
Respiratory rate (RR) < 10,4,Level 1,Adult,16 - 64,16,64,deterministic
Respiratory rate (RR) > 29,5,Level 1,Adult,16 - 64,16,64,deterministic
Respiratory distress,6,Level 1,Adult,16 - 64,16,64,llm
Intubated,7,Level 1,Adult,16 - 64,16,64,llm
Flail chest,8,Level 1,Adult,16 - 64,16,64,llm
"Pleural decompression (needle decompression, chest tube placement, finger thoracostomy)",9,Level 1,Adult,16 - 64,16,64,llm
Penetrating injury to the head,10,Level 1,Adult,16 - 64,16,64,llm
Penetrating injury or significant wound to the neck,11,Level 1,Adult,16 - 64,16,64,llm
"Penetrating injury to the torso (chest, back or abdomen)",12,Level 1,Adult,16 - 64,16,64,llm
"Penetrating injury to the arm proximal to the elbow (shoulder, axilla, bicep or tricep)",13,Level 1,Adult,16 - 64,16,64,llm
Penetrating injury to the leg proximal to the knee (groin or thigh),14,Level 1,Adult,16 - 64,16,64,llm
Suspected or identified pelvic fracture,15,Level 1,Adult,16 - 64,16,64,llm
Paralysis related to trauma,16,Level 1,Adult,16 - 64,16,64,llm
Pulseless extremity (arm or leg),17,Level 1,Adult,16 - 64,16,64,llm
"Crush or degloving injury to the arm proximal to the elbow (shoulder, axilla, bicep or tricep)",18,Level 1,Adult,16 - 64,16,64,llm
"Mangled arm proximal to the elbow (shoulder, axilla, bicep or tricep)",19,Level 1,Adult,16 - 64,16,64,llm
Crush or degloving injury to the leg proximal to the knee (groin or thigh),20,Level 1,Adult,16 - 64,16,64,llm
Mangled leg proximal to the knee (groin or thigh),21,Level 1,Adult,16 - 64,16,64,llm
Full or partial thickness (2nd or 3rd degree) burns > 20% of total body surface area (TBSA),22,Level 1,Adult,16 - 64,16,64,llm
Airway burns or concern for inhalational injury / burn,23,Level 1,Adult,16 - 64,16,64,llm
Electrocution / electric shock with high voltage or greater than household current ( > 120 volts),24,Level 1,Adult,16 - 64,16,64,llm
"Blood product administration related to trauma - whole blood, packed red blood cells (RBC), fresh frozen plasma (FFP), platelets",25,Level 1,Adult,16 - 64,16,64,llm
Glasgow coma scale (GCS) == 12 or 13,26,Level 2,Adult,16 - 64,16,64,deterministic
Fall from > 15 feet height,27,Level 2,Adult,16 - 64,16,64,llm
"High speed (≥ 55 mph) automobile crash AND suspected significant injuries (e.g., non-ambulatory)",28,Level 2,Adult,16 - 64,16,64,llm
"Motorcycle crash AND suspected significant injuries (e.g., non-ambulatory)",29,Level 2,Adult,16 - 64,16,64,llm
Pedestrian hit by an automobile (automobile vs pedestrian) > 10 mph AND significant impact or suspected significant injuries,30,Level 2,Adult,16 - 64,16,64,llm
Bicyclist hit by an automobile (automobile vs bicycle) > 10 mph AND significant impact or suspected significant injuries,31,Level 2,Adult,16 - 64,16,64,llm
Active bleeding requiring a tourniquet or wound packing,32,Level 2,Adult,16 - 64,16,64,llm
Poorly controlled bleeding despite pressure or bandaging,33,Level 2,Adult,16 - 64,16,64,llm
More than one open fracture (excluding the hands or feet),34,Level 2,Adult,16 - 64,16,64,llm
"More than one suspected long bone fracture (thigh, leg, arm, femur, humerus, tibia). This does not include hands or feet. This may be described as a deformity or shortening.",35,Level 2,Adult,16 - 64,16,64,llm
Full or partial thickness (2nd or 3rd degree) burns between 10% and 20% of total body surface area (TBSA),36,Level 2,Adult,16 - 64,16,64,llm
Full or partial thickness (2nd or 3rd degree) burns to the face without suspected inhalation or airway injury.,37,Level 2,Adult,16 - 64,16,64,llm
Pregnancy > 20 weeks gestational age AND abdominal or pelvic pain,38,Level 2,Adult,16 - 64,16,64,llm
Pregnancy > 20 weeks gestational age AND vaginal bleeding,39,Level 2,Adult,16 - 64,16,64,llm
Pregnancy > 20 weeks gestational age AND evidence of active labor,40,Level 2,Adult,16 - 64,16,64,llm
Ejection from an automobile,41,Level 3,Adult,18 - 64,18,64,llm
Moped crash with speed > 25 mph,42,Level 3,Adult,18 - 64,18,64,llm
Bicycle crash with speed > 25 mph,43,Level 3,Adult,18 - 64,18,64,llm
Death of another passenger in the SAME vehicle as the patient,44,Level 3,Adult,18 - 64,18,64,llm
"Pregnancy > 20 weeks gestational age WITHOUT abdominal pain, pelvic pain, vaginal bleeding or evidence of active labor",45,Level 3,Adult,18 - 64,18,64,llm
Glasgow coma score (GCS) < 12,46,Level 1,Pediatric,0 - 15,0,15,deterministic
Injury with associated tachycardia AND evidence of poor perfusion,47,Level 1,Pediatric,0 - 15,0,15,llm
Systolic blood pressure (SBP) ≤ 90 for patients age 10 - 15,57,Level 1,Pediatric,0 - 15,10,15,deterministic
Respiratory distress,58,Level 1,Pediatric,0 - 15,0,15,llm
"Intubated - Endotracheal (ET) tube, Laryngeal mask airway (LMA, iGel)",59,Level 1,Pediatric,0 - 15,0,15,llm
Flail chest,60,Level 1,Pediatric,0 - 15,0,15,llm
"Pleural decompression (needle decompression, chest tube)",61,Level 1,Pediatric,0 - 15,0,15,llm
Penetrating injury to the head,62,Level 1,Pediatric,0 - 15,0,15,llm
Penetrating injury or significant wound to the neck,63,Level 1,Pediatric,0 - 15,0,15,llm
"Penetrating injury to the torso (chest, back or abdomen)",64,Level 1,Pediatric,0 - 15,0,15,llm
"Penetrating injury to the arm proximal to the elbow (shoulder, axilla, bicep or tricep)",65,Level 1,Pediatric,0 - 15,0,15,llm
Penetrating injury to the leg proximal to the knee (groin or thigh),66,Level 1,Pediatric,0 - 15,0,15,llm
Suspected or identified pelvic fracture,67,Level 1,Pediatric,0 - 15,0,15,llm
Paralysis related to trauma,68,Level 1,Pediatric,0 - 15,0,15,llm
Pulseless extremity (arm or leg),69,Level 1,Pediatric,0 - 15,0,15,llm
"Crush or degloving injury to the arm proximal to the elbow (shoulder, axilla, bicep or tricep)",70,Level 1,Pediatric,0 - 15,0,15,llm
"Mangled arm proximal to the elbow (shoulder, axilla, bicep or tricep)",71,Level 1,Pediatric,0 - 15,0,15,llm
Crush or degloving injury to the leg proximal to the knee (groin or thigh),72,Level 1,Pediatric,0 - 15,0,15,llm
Mangled leg proximal to the knee (groin or thigh),73,Level 1,Pediatric,0 - 15,0,15,llm
Full or partial thickness (2nd or 3rd degree) burns > 20% of total body surface area (TBSA),74,Level 1,Pediatric,0 - 15,0,15,llm
Airway burns or concern for inhalational injury / burn,75,Level 1,Pediatric,0 - 15,0,15,llm
Electrocution / electric shock with high voltage or greater than household current ( > 120 volts),76,Level 1,Pediatric,0 - 15,0,15,llm
"Blood product administration related to trauma - whole blood, packed red blood cells (RBC), fresh frozen plasma (FFP), platelets",77,Level 1,Pediatric,0 - 15,0,15,llm
Glasgow coma score (GCS) = 12 or 13,78,Level 2,Pediatric,0 - 15,0,15,deterministic
Fall from > 5 feet height (consider height of object),79,Level 2,Pediatric,0 - 15,0,15,llm
High speed (≥ 55 mph) automobile crash AND significant vehicle damage,80,Level 2,Pediatric,0 - 15,0,15,llm
Motorcycle crash (MCC) with significant impact,81,Level 2,Pediatric,0 - 15,0,15,llm
ATV crash with significant impact,82,Level 2,Pediatric,0 - 15,0,15,llm
Moped crash with significant impact,83,Level 2,Pediatric,0 - 15,0,15,llm
Golf cart crash with significant impact,84,Level 2,Pediatric,0 - 15,0,15,llm
Go cart crash with significant impact,85,Level 2,Pediatric,0 - 15,0,15,llm
Pedestrian hit by an automobile (auto vs pedestrian) with significant impact,86,Level 2,Pediatric,0 - 15,0,15,llm
